[2026-07-22 21:35:18.738] [info] [DesktopGimbal] Opening gimbal serial...
[2026-07-22 21:35:18.738] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-22 21:35:18.840] [info] [Gimbal] read_thread started.
[2026-07-22 21:35:18.841] [info] [Gimbal] First q received.
[2026-07-22 21:35:18.841] [info] [DesktopGimbal] Opening camera...
[2026-07-22 21:35:19.740] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:20.101] [info] [YOLO26N] model=assets/yolo26n.xml, device=CPU
[2026-07-22 21:35:20.384] [info] [MultiThreadDetector] initialized !
[2026-07-22 21:35:20.385] [info] [DesktopGimbal] Entering main loop.
[2026-07-22 21:35:20.742] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:20.814] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:35:21.596] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:22.445] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:23.276] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:24.124] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:24.972] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:25.815] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:26.654] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:27.495] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:28.349] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:29.184] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:30.018] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:30.865] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:31.709] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:32.548] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:33.396] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:34.236] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:35.076] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:35.910] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:36.747] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:37.591] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:38.429] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:39.274] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:40.120] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:40.970] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:41.812] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:42.657] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:43.486] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:44.343] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:45.173] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:45.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:46.664] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:46.740] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:46.834] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:46.900] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:46.955] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:46.996] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.091] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.189] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.259] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.359] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.424] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.522] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.617] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.711] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.780] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.878] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.942] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:47.955] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:48.036] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.128] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.222] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.287] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.384] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.450] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.546] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.637] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.732] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.797] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.893] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:48.956] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:48.958] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.053] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.146] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.240] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.309] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.404] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.469] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.564] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.656] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.749] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.819] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.915] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:49.956] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:49.980] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.076] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.169] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.264] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.333] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.432] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.497] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.593] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.686] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.779] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.845] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.945] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:50.957] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:51.010] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.106] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.198] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.292] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.360] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.461] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.526] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.622] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.714] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.806] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.874] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:51.957] [info] [Gimbal] Diag: latency=0.01ms, serial_ok=yes
[2026-07-22 21:35:51.977] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.041] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.135] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.228] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.324] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.393] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.496] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.560] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.656] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.748] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.841] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.908] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:52.954] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:53.008] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.073] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.172] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.265] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.360] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.426] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.521] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.590] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.683] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.775] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.868] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.931] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:53.955] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:54.029] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.099] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.192] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.285] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.381] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.448] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.547] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.611] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.717] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.811] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.906] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:54.955] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:54.976] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.072] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.138] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.234] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.325] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.418] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.484] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.583] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.648] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.745] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.837] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.929] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:55.955] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:55.998] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.096] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.160] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.258] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.350] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.442] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.507] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.605] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.671] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.770] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.864] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:56.956] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:56.960] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.029] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.124] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.191] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.289] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.382] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.475] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.542] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.640] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.708] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.805] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.905] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:57.956] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:35:58.002] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.070] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.170] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.235] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.330] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.424] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.517] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.581] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.678] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.743] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.836] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.932] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:35:58.956] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
