[2026-07-22 23:30:24.120] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:24.959] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:25.795] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:26.633] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:27.471] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:28.321] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:29.171] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:30.014] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:30.851] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:31.683] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:32.527] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:33.371] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:34.219] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:30:34.292] [info] [SimpleTracker] Shutdown.
[2026-07-22 23:30:34.517] [info] [Gimbal] read_thread stopped.
