[2026-07-02 11:01:43.308] [info] [0] yolo: 206.3ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:01:43.361] [info] [1] yolo: 8.8ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:01:43.373] [info] [2] yolo: 8.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:01:43.423] [info] [3] yolo: 10.9ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:01:43.471] [info] [4] yolo: 9.9ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:01:43.518] [info] [5] yolo: 10.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:43.564] [info] [6] yolo: 9.4ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:01:43.606] [info] [7] yolo: 7.2ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:01:43.652] [info] [8] yolo: 10.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:43.700] [info] [9] yolo: 11.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:43.746] [info] [10] yolo: 11.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:43.790] [info] [11] yolo: 9.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:43.838] [info] [12] yolo: 9.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:43.886] [info] [13] yolo: 10.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:43.930] [info] [14] yolo: 8.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:43.976] [info] [15] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:44.018] [info] [16] yolo: 5.7ms, tracker: 1.0ms, aimer: 0.1ms
[2026-07-02 11:01:44.061] [info] [17] yolo: 6.7ms, tracker: 0.9ms, aimer: 0.0ms
[2026-07-02 11:01:44.107] [info] [18] yolo: 10.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:44.150] [info] [19] yolo: 7.0ms, tracker: 1.0ms, aimer: 0.1ms
[2026-07-02 11:01:44.199] [info] [20] yolo: 11.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:44.245] [info] [21] yolo: 8.4ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:01:44.286] [info] [22] yolo: 5.9ms, tracker: 0.9ms, aimer: 0.1ms
[2026-07-02 11:01:44.332] [info] [23] yolo: 8.3ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:44.382] [info] [24] yolo: 10.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:44.427] [info] [25] yolo: 7.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:44.470] [info] [26] yolo: 7.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:44.517] [info] [27] yolo: 8.6ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:44.563] [info] [28] yolo: 8.3ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:44.605] [info] [29] yolo: 6.2ms, tracker: 1.1ms, aimer: 0.1ms
[2026-07-02 11:01:44.648] [debug] [Target] r=0.044, l=0.000
[2026-07-02 11:01:44.648] [debug] [Tracker] Target diverged!
[2026-07-02 11:01:44.648] [info] [30] yolo: 6.7ms, tracker: 1.2ms, aimer: 0.0ms
[2026-07-02 11:01:44.695] [info] [31] yolo: 9.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:44.739] [info] [32] yolo: 6.4ms, tracker: 0.9ms, aimer: 0.0ms
[2026-07-02 11:01:44.783] [info] [33] yolo: 8.5ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:44.828] [info] [34] yolo: 7.0ms, tracker: 1.0ms, aimer: 0.0ms
[2026-07-02 11:01:44.870] [info] [35] yolo: 8.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:01:44.915] [info] [36] yolo: 10.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:44.958] [info] [37] yolo: 6.8ms, tracker: 1.1ms, aimer: 0.1ms
[2026-07-02 11:01:45.001] [info] [38] yolo: 9.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:01:45.047] [info] [39] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
