[2026-07-15 20:41:03.826] [info] [Gimbal] read_thread started.
[2026-07-15 20:41:03.827] [info] [Gimbal] First q received.
[2026-07-15 20:41:04.530] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:05.331] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:06.131] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:06.932] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:07.730] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:08.531] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:09.332] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:10.132] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:10.930] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:11.731] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:12.531] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:13.332] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:14.130] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:14.931] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:15.731] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:16.532] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:17.330] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:18.131] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:18.931] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:19.732] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:20.530] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:21.331] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:22.131] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:22.932] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:23.730] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:24.531] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:25.331] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:26.132] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:26.930] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:27.731] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:28.531] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:29.332] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:30.130] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:30.931] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:31.731] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:32.532] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:33.330] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:34.131] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:34.931] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:35.732] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:36.530] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:37.331] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:38.131] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:38.932] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:39.730] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:40.531] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:41.331] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:42.132] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:42.930] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:43.731] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:44.531] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:45.332] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:46.130] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:46.931] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:47.731] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-15 20:41:48.024] [info] [Gimbal] read_thread stopped.
