[2026-07-22 21:23:42.438] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:43.270] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:44.105] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:44.950] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:45.796] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:46.641] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:47.498] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:48.334] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:49.169] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:49.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:50.839] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:51.670] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:52.510] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:53.353] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:54.192] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:55.025] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:55.871] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:56.710] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:57.543] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:57.638] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:23:58.382] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:59.213] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:00.067] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:00.906] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:01.734] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:02.572] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:03.422] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:04.258] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:04.980] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:24:05.104] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:05.951] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:06.789] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:07.624] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:08.470] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:09.310] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:10.142] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:10.976] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:11.820] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:12.657] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:13.497] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:14.330] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:15.179] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:16.016] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:16.859] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:17.699] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:18.529] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:19.376] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:20.221] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:21.049] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:21.890] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:22.740] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:23.576] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:24.410] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:25.255] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:26.093] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:26.937] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:27.772] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:28.604] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:29.449] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:30.285] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:31.131] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:31.971] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:32.817] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:33.659] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:34.497] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:35.336] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:36.173] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:37.021] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:37.867] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:38.717] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:39.554] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:40.395] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:41.228] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:41.881] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:24:42.063] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
