[2026-07-06 16:36:21.077] [info] [0] yolo: 218.9ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-06 16:36:21.136] [info] [1] yolo: 9.9ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-06 16:36:21.150] [info] [2] yolo: 9.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-06 16:36:21.195] [info] [3] yolo: 10.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.240] [info] [4] yolo: 10.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-06 16:36:21.284] [info] [5] yolo: 8.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.329] [info] [6] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.372] [info] [7] yolo: 7.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.415] [info] [8] yolo: 7.5ms, tracker: 1.1ms, aimer: 0.1ms
[2026-07-06 16:36:21.463] [info] [9] yolo: 10.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.507] [info] [10] yolo: 7.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.553] [info] [11] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.596] [info] [12] yolo: 8.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-06 16:36:21.641] [info] [13] yolo: 8.5ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-06 16:36:21.685] [info] [14] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.730] [info] [15] yolo: 10.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-06 16:36:21.773] [info] [16] yolo: 9.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-06 16:36:21.815] [info] [17] yolo: 7.6ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-06 16:36:21.859] [info] [18] yolo: 8.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.905] [info] [19] yolo: 9.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.947] [info] [20] yolo: 7.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:21.991] [info] [21] yolo: 9.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-06 16:36:22.034] [info] [22] yolo: 8.3ms, tracker: 0.6ms, aimer: 0.0ms
