[2026-07-22 23:46:48.730] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-22 23:46:48.832] [info] [Gimbal] read_thread started.
[2026-07-22 23:46:48.833] [info] [Gimbal] First q received.
[2026-07-22 23:46:49.732] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:50.090] [info] [SimpleTracker] Entering main loop.
[2026-07-22 23:46:50.642] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:51.484] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:52.332] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:53.177] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:54.026] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:54.861] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:55.701] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:56.546] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:57.378] [info] [Gimbal] Diag: latency=0.01ms, serial_ok=yes
[2026-07-22 23:46:57.741] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 23:46:58.218] [info] [Gimbal] Diag: latency=0.01ms, serial_ok=yes
[2026-07-22 23:46:59.054] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:46:59.895] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:00.739] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:01.585] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:02.438] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:03.285] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:04.123] [info] [Gimbal] Diag: latency=0.02ms, serial_ok=yes
[2026-07-22 23:47:04.964] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:05.803] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:06.636] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:07.474] [info] [Gimbal] Diag: latency=0.02ms, serial_ok=yes
[2026-07-22 23:47:08.316] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:09.161] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:10.018] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:10.869] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:11.718] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:12.564] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:13.402] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:14.250] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:15.088] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:15.924] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:16.766] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:17.617] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:18.467] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:19.310] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:20.144] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:20.972] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:21.814] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:22.662] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:23.503] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:24.332] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:25.170] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:26.022] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:26.864] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:27.718] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:28.566] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:29.413] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:47:29.870] [info] [SimpleTracker] Shutdown.
[2026-07-22 23:47:30.090] [info] [Gimbal] read_thread stopped.
