[2026-07-22 20:09:11.617] [info] [DesktopGimbal] Opening gimbal serial...
[2026-07-22 20:09:11.618] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-22 20:09:11.718] [info] [Gimbal] read_thread started.
[2026-07-22 20:09:11.718] [info] [Gimbal] First q received.
[2026-07-22 20:09:11.958] [warning] [Gimbal] Data sanity check failed: yaw=-44.736, pitch=6743171026468448955827198951554023424.000, yaw_vel=-0.000, pitch_vel=467658277088334252915818496.000
[2026-07-22 20:09:11.970] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6745280397067228729551289465687769088.000, yaw_vel=-0.000, pitch_vel=28890048925826633695232.000
[2026-07-22 20:09:11.978] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6750959471756251197269994696047853568.000, yaw_vel=-0.000, pitch_vel=0.000
[2026-07-22 20:09:11.990] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6751446249586738837360169430078717952.000, yaw_vel=-0.000, pitch_vel=0.000
[2026-07-22 20:09:11.999] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6747227508389179289911988401811226624.000, yaw_vel=-0.000, pitch_vel=0.000
[2026-07-22 20:09:12.010] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6740737137316010755376325281399701504.000, yaw_vel=-0.000, pitch_vel=0.000
[2026-07-22 20:09:12.019] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6734409025519671434204053738998464512.000, yaw_vel=-0.000, pitch_vel=1888992565892854283501568.000
[2026-07-22 20:09:12.030] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6730352543598941100119264288741261312.000, yaw_vel=-0.000, pitch_vel=0.000
[2026-07-22 20:09:12.039] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6725160246740406272490733792412041216.000, yaw_vel=-0.000, pitch_vel=-2309984159143053670481920.000
[2026-07-22 20:09:12.050] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6724997987463577059127342214401753088.000, yaw_vel=-0.000, pitch_vel=0.000
[2026-07-22 20:09:12.059] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6723375394695284925493426434298871808.000, yaw_vel=-0.000, pitch_vel=0.000
[2026-07-22 20:09:12.071] [warning] [Gimbal] Data sanity check failed: yaw=-44.692, pitch=6725484765294064699217516948432617472.000, yaw_vel=-0.000, pitch_vel=0.000
[2026-07-22 20:09:12.079] [warning] [Gimbal] Data sanity check failed: yaw=-44.736, pitch=6723862172525772565583601168329736192.000, yaw_vel=-0.000, pitch_vel=11819565644867153495588864.000
