[2026-07-22 21:17:14.817] [info] [DesktopGimbal] Opening gimbal serial...
[2026-07-22 21:17:14.817] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-22 21:17:14.917] [info] [Gimbal] read_thread started.
[2026-07-22 21:17:14.918] [info] [Gimbal] First q received.
[2026-07-22 21:17:14.918] [info] [DesktopGimbal] Opening camera...
[2026-07-22 21:17:15.817] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:16.818] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:16.866] [info] [MultiThreadDetector] initialized !
[2026-07-22 21:17:16.868] [info] [DesktopGimbal] Entering main loop.
[2026-07-22 21:17:17.291] [debug] [Aimer] Unsolvable trajectory0: 15.00 3432.58 -1496.31
[2026-07-22 21:17:17.358] [debug] [Aimer] Unsolvable trajectory0: 15.00 1770.77 -771.65
[2026-07-22 21:17:17.366] [warning] [Gimbal] Data sanity check failed: yaw=-2658508282157091160270425859567910912.000 (max 180.0°)
[2026-07-22 21:17:17.542] [debug] [Target] r=38.398, l=27.105
[2026-07-22 21:17:17.542] [debug] [Tracker] Target diverged!
[2026-07-22 21:17:17.554] [debug] [Aimer] Unsolvable trajectory0: 15.00 5063.29 -2429.50
[2026-07-22 21:17:17.758] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:18.091] [debug] [Target] r=0.543, l=0.000
[2026-07-22 21:17:18.091] [debug] [Tracker] Target diverged!
[2026-07-22 21:17:18.582] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:19.246] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:19.351] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:19.414] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:19.488] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:19.557] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:19.589] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:19.686] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:19.787] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:19.885] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:19.950] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.016] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.119] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.215] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.315] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.411] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.478] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.557] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:20.587] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.690] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.786] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.888] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:20.984] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.056] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.152] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.258] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.355] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.455] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.550] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.557] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:21.614] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.689] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.790] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.886] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:21.984] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.080] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.154] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.289] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.385] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.484] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.558] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:22.583] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.680] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.745] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.820] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:22.920] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.016] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.118] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.214] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.288] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.388] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.485] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.555] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:23.583] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.684] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.781] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.854] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:23.941] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.043] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.142] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.241] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.339] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.406] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.488] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.555] [info] [Gimbal] Diag: latency=0.02ms, serial_ok=yes
[2026-07-22 21:17:24.589] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.684] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.783] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.881] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:24.948] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.020] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.123] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.221] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.326] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.425] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.497] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.556] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:25.568] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.667] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.764] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.870] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:25.967] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:26.036] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:26.107] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:26.206] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:26.305] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:26.405] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:26.505] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:26.556] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:17:26.582] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:26.677] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 21:17:26.780] [debug] [MultiThreadDetector] queue is full!
