[2026-07-02 10:36:30.148] [info] [0] yolo: 153.7ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 10:36:30.203] [info] [1] yolo: 10.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:30.215] [info] [2] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 10:36:30.261] [info] [3] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:30.304] [info] [4] yolo: 8.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:30.347] [info] [5] yolo: 7.7ms, tracker: 0.8ms, aimer: 0.0ms
[2026-07-02 10:36:30.388] [info] [6] yolo: 6.3ms, tracker: 1.0ms, aimer: 0.0ms
[2026-07-02 10:36:30.431] [info] [7] yolo: 5.9ms, tracker: 1.0ms, aimer: 0.1ms
[2026-07-02 10:36:30.476] [info] [8] yolo: 8.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:30.522] [info] [9] yolo: 10.3ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 10:36:30.567] [info] [10] yolo: 7.0ms, tracker: 1.0ms, aimer: 0.1ms
[2026-07-02 10:36:30.613] [info] [11] yolo: 9.9ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:30.658] [info] [12] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:30.703] [info] [13] yolo: 9.5ms, tracker: 0.8ms, aimer: 0.1ms
[2026-07-02 10:36:30.747] [info] [14] yolo: 9.4ms, tracker: 0.8ms, aimer: 0.0ms
[2026-07-02 10:36:30.793] [info] [15] yolo: 9.0ms, tracker: 0.8ms, aimer: 0.0ms
[2026-07-02 10:36:30.837] [info] [16] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:30.885] [info] [17] yolo: 11.5ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:30.929] [info] [18] yolo: 9.5ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:30.974] [info] [19] yolo: 10.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:31.023] [info] [20] yolo: 11.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:31.066] [info] [21] yolo: 6.1ms, tracker: 1.0ms, aimer: 0.1ms
[2026-07-02 10:36:31.118] [info] [22] yolo: 13.3ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 10:36:31.165] [info] [23] yolo: 9.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:31.208] [info] [24] yolo: 7.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:31.253] [info] [25] yolo: 9.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:31.299] [info] [26] yolo: 10.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:31.343] [info] [27] yolo: 6.4ms, tracker: 1.0ms, aimer: 0.1ms
[2026-07-02 10:36:31.389] [info] [28] yolo: 9.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:31.435] [info] [29] yolo: 10.2ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 10:36:31.483] [debug] [Target] r=0.044, l=0.000
[2026-07-02 10:36:31.483] [debug] [Tracker] Target diverged!
[2026-07-02 10:36:31.483] [info] [30] yolo: 12.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:31.525] [info] [31] yolo: 5.6ms, tracker: 0.9ms, aimer: 0.1ms
[2026-07-02 10:36:31.574] [info] [32] yolo: 10.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:31.623] [info] [33] yolo: 11.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:31.670] [info] [34] yolo: 9.6ms, tracker: 0.9ms, aimer: 0.1ms
[2026-07-02 10:36:31.717] [info] [35] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:31.763] [info] [36] yolo: 10.9ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:31.807] [info] [37] yolo: 9.8ms, tracker: 0.9ms, aimer: 0.1ms
[2026-07-02 10:36:31.852] [info] [38] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:31.894] [info] [39] yolo: 8.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:31.939] [info] [40] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 10:36:31.986] [info] [41] yolo: 8.8ms, tracker: 0.9ms, aimer: 0.1ms
[2026-07-02 10:36:32.033] [info] [42] yolo: 9.1ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 10:36:32.075] [info] [43] yolo: 6.2ms, tracker: 1.2ms, aimer: 0.1ms
[2026-07-02 10:36:32.124] [info] [44] yolo: 11.7ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 10:36:32.169] [info] [45] yolo: 8.5ms, tracker: 0.9ms, aimer: 0.0ms
[2026-07-02 10:36:32.213] [info] [46] yolo: 9.5ms, tracker: 0.6ms, aimer: 0.0ms
