[2026-07-04 14:36:42.549] [info] [0] yolo: 240.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-04 14:36:42.626] [info] [1] yolo: 19.6ms, tracker: 0.6ms, aimer: 0.1ms
[2026-07-04 14:36:42.649] [info] [2] yolo: 17.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-04 14:36:42.701] [info] [3] yolo: 16.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-04 14:36:42.754] [info] [4] yolo: 16.9ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:42.812] [info] [5] yolo: 18.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:42.867] [info] [6] yolo: 18.3ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:42.922] [info] [7] yolo: 16.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:42.980] [info] [8] yolo: 18.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.033] [info] [9] yolo: 18.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.086] [info] [10] yolo: 16.9ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.138] [info] [11] yolo: 17.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.195] [info] [12] yolo: 19.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-04 14:36:43.247] [info] [13] yolo: 16.5ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.300] [info] [14] yolo: 17.5ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.354] [info] [15] yolo: 17.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.410] [info] [16] yolo: 16.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.463] [info] [17] yolo: 17.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.519] [info] [18] yolo: 17.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.575] [info] [19] yolo: 17.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.630] [info] [20] yolo: 17.7ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.684] [info] [21] yolo: 16.6ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.738] [info] [22] yolo: 16.6ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.794] [info] [23] yolo: 20.7ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.847] [info] [24] yolo: 17.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.900] [info] [25] yolo: 16.7ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:43.957] [info] [26] yolo: 19.5ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:44.012] [info] [27] yolo: 17.6ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:44.067] [info] [28] yolo: 17.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-04 14:36:44.122] [info] [29] yolo: 15.8ms, tracker: 0.6ms, aimer: 0.0ms
