[2026-07-02 11:12:05.954] [info] [0] yolo: 138.3ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:06.020] [info] [1] yolo: 10.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.034] [info] [2] yolo: 9.7ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:06.079] [info] [3] yolo: 9.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.121] [info] [4] yolo: 7.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.168] [info] [5] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.211] [info] [6] yolo: 10.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.255] [info] [7] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:12:06.297] [info] [8] yolo: 8.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:06.341] [info] [9] yolo: 9.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:06.386] [info] [10] yolo: 8.6ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:06.428] [info] [11] yolo: 7.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.475] [info] [12] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.518] [info] [13] yolo: 8.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.561] [info] [14] yolo: 7.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.606] [info] [15] yolo: 9.3ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:12:06.649] [info] [16] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.694] [info] [17] yolo: 8.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.733] [info] [18] yolo: 5.6ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:06.782] [info] [19] yolo: 10.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.826] [info] [20] yolo: 7.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.870] [info] [21] yolo: 8.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.913] [info] [22] yolo: 8.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.956] [info] [23] yolo: 9.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:06.995] [info] [24] yolo: 5.6ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:12:07.038] [info] [25] yolo: 8.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.083] [info] [26] yolo: 9.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.124] [info] [27] yolo: 6.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.168] [info] [28] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.212] [info] [29] yolo: 6.0ms, tracker: 0.8ms, aimer: 0.0ms
[2026-07-02 11:12:07.258] [debug] [Target] r=0.044, l=0.000
[2026-07-02 11:12:07.258] [debug] [Tracker] Target diverged!
[2026-07-02 11:12:07.258] [info] [30] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.301] [info] [31] yolo: 8.9ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:12:07.345] [info] [32] yolo: 9.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.388] [info] [33] yolo: 8.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:07.436] [info] [34] yolo: 11.1ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:12:07.479] [info] [35] yolo: 10.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.524] [info] [36] yolo: 10.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.567] [info] [37] yolo: 5.9ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:07.611] [info] [38] yolo: 9.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.656] [info] [39] yolo: 11.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.700] [info] [40] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.741] [info] [41] yolo: 8.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.785] [info] [42] yolo: 7.9ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:07.831] [info] [43] yolo: 10.0ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:12:07.875] [info] [44] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:07.918] [info] [45] yolo: 8.8ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:12:07.963] [info] [46] yolo: 8.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:08.007] [info] [47] yolo: 9.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:08.051] [info] [48] yolo: 10.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:08.095] [info] [49] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:08.139] [info] [50] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:08.180] [info] [51] yolo: 7.4ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.224] [info] [52] yolo: 9.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:08.267] [info] [53] yolo: 10.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.308] [info] [54] yolo: 6.9ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.348] [info] [55] yolo: 7.4ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.390] [info] [56] yolo: 8.9ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:12:08.436] [info] [57] yolo: 9.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.479] [info] [58] yolo: 10.7ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.525] [info] [59] yolo: 10.8ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.571] [info] [60] yolo: 9.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:08.616] [info] [61] yolo: 10.4ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.660] [debug] [Target] r=0.042, l=0.000
[2026-07-02 11:12:08.660] [debug] [Tracker] Target diverged!
[2026-07-02 11:12:08.660] [info] [62] yolo: 9.5ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:08.706] [info] [63] yolo: 11.2ms, tracker: 0.8ms, aimer: 0.1ms
[2026-07-02 11:12:08.750] [info] [64] yolo: 9.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:08.794] [info] [65] yolo: 10.4ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.838] [info] [66] yolo: 10.7ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:08.885] [info] [67] yolo: 11.1ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:08.933] [info] [68] yolo: 10.9ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:08.978] [info] [69] yolo: 8.1ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:09.021] [info] [70] yolo: 8.4ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:09.065] [info] [71] yolo: 7.0ms, tracker: 1.0ms, aimer: 0.1ms
[2026-07-02 11:12:09.106] [info] [72] yolo: 6.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:09.150] [info] [73] yolo: 9.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:09.193] [info] [74] yolo: 8.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:09.238] [info] [75] yolo: 10.1ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:12:09.285] [info] [76] yolo: 10.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:09.329] [info] [77] yolo: 6.7ms, tracker: 1.1ms, aimer: 0.1ms
[2026-07-02 11:12:09.374] [info] [78] yolo: 7.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:09.417] [info] [79] yolo: 6.3ms, tracker: 1.1ms, aimer: 0.1ms
[2026-07-02 11:12:09.462] [info] [80] yolo: 6.9ms, tracker: 1.1ms, aimer: 0.1ms
[2026-07-02 11:12:09.501] [info] [81] yolo: 5.3ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:12:09.542] [info] [82] yolo: 7.3ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:12:09.587] [info] [83] yolo: 9.3ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:12:09.626] [info] [84] yolo: 5.3ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:12:09.672] [info] [85] yolo: 10.8ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:09.714] [info] [86] yolo: 9.4ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:12:09.759] [info] [87] yolo: 9.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:09.803] [info] [88] yolo: 10.2ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:09.848] [info] [89] yolo: 10.9ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:09.893] [info] [90] yolo: 11.3ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:12:09.937] [info] [91] yolo: 9.1ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:09.983] [info] [92] yolo: 9.2ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:10.025] [info] [93] yolo: 7.7ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:10.341] [info] [94] yolo: 5.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:10.385] [info] [95] yolo: 8.8ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:10.429] [debug] [Target] r=0.325, l=-0.275
[2026-07-02 11:12:10.429] [debug] [Tracker] Target diverged!
[2026-07-02 11:12:10.429] [info] [96] yolo: 6.5ms, tracker: 1.1ms, aimer: 0.0ms
[2026-07-02 11:12:10.476] [info] [97] yolo: 10.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:10.521] [info] [98] yolo: 10.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:10.564] [info] [99] yolo: 6.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:10.606] [info] [100] yolo: 8.9ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:10.651] [info] [101] yolo: 10.9ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:10.697] [info] [102] yolo: 10.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:10.739] [info] [103] yolo: 7.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:10.784] [info] [104] yolo: 10.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:10.831] [info] [105] yolo: 8.2ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:10.875] [info] [106] yolo: 8.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:10.919] [info] [107] yolo: 8.7ms, tracker: 0.8ms, aimer: 0.0ms
[2026-07-02 11:12:10.960] [info] [108] yolo: 6.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:11.004] [info] [109] yolo: 6.9ms, tracker: 1.1ms, aimer: 0.1ms
[2026-07-02 11:12:11.050] [info] [110] yolo: 11.9ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:11.092] [info] [111] yolo: 7.7ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:11.135] [info] [112] yolo: 9.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:11.177] [info] [113] yolo: 7.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:11.225] [info] [114] yolo: 11.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:12:11.272] [info] [115] yolo: 9.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:11.311] [info] [116] yolo: 5.8ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:11.353] [info] [117] yolo: 6.9ms, tracker: 0.9ms, aimer: 0.1ms
[2026-07-02 11:12:11.398] [info] [118] yolo: 10.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:12:11.439] [info] [119] yolo: 6.7ms, tracker: 1.1ms, aimer: 0.1ms
[2026-07-02 11:12:11.484] [info] [120] yolo: 10.7ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:12:11.527] [info] [121] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
