[2026-07-02 11:11:20.943] [info] [0] yolo: 134.3ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:11:20.997] [info] [1] yolo: 8.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.010] [info] [2] yolo: 8.4ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:11:21.052] [info] [3] yolo: 8.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.095] [info] [4] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.137] [info] [5] yolo: 8.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.185] [info] [6] yolo: 10.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.230] [info] [7] yolo: 9.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.272] [info] [8] yolo: 7.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.314] [info] [9] yolo: 8.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.356] [info] [10] yolo: 8.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.396] [info] [11] yolo: 6.2ms, tracker: 0.8ms, aimer: 0.0ms
[2026-07-02 11:11:21.439] [info] [12] yolo: 10.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.484] [info] [13] yolo: 9.9ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:11:21.527] [info] [14] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:11:21.571] [info] [15] yolo: 10.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.615] [info] [16] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.655] [info] [17] yolo: 5.4ms, tracker: 0.9ms, aimer: 0.0ms
[2026-07-02 11:11:21.698] [info] [18] yolo: 8.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.738] [info] [19] yolo: 6.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.778] [info] [20] yolo: 4.7ms, tracker: 0.6ms, aimer: 0.1ms
[2026-07-02 11:11:21.821] [info] [21] yolo: 5.4ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:11:21.867] [info] [22] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.911] [info] [23] yolo: 10.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.954] [info] [24] yolo: 6.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:21.996] [info] [25] yolo: 8.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:22.041] [info] [26] yolo: 7.5ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:11:22.084] [info] [27] yolo: 6.1ms, tracker: 0.9ms, aimer: 0.1ms
[2026-07-02 11:11:22.132] [info] [28] yolo: 9.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:22.181] [info] [29] yolo: 10.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:11:22.227] [debug] [Target] r=0.044, l=0.000
[2026-07-02 11:11:22.227] [debug] [Tracker] Target diverged!
[2026-07-02 11:11:22.227] [info] [30] yolo: 9.0ms, tracker: 0.6ms, aimer: 0.0ms
