[2026-07-22 23:36:06.008] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-22 23:36:06.110] [info] [Gimbal] read_thread started.
[2026-07-22 23:36:06.110] [info] [Gimbal] First q received.
[2026-07-22 23:36:07.010] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:36:07.380] [info] [SimpleTracker] Entering main loop.
[2026-07-22 23:36:07.402] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:07.531] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:07.538] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:07.601] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:07.668] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:07.734] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:07.800] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:07.868] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:07.934] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:07.951] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:36:08.002] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:08.068] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:08.134] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:08.201] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:36:08.268] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
