[2026-07-07 14:18:13.241] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-07 14:18:13.342] [info] [Gimbal] read_thread started.
[2026-07-07 14:18:14.358] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:15.373] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:16.387] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:17.406] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:18.424] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:19.438] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:20.455] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:21.472] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:22.493] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:23.511] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:24.523] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:25.540] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:26.552] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:27.579] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:28.600] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:29.618] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:30.639] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:31.665] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:32.686] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:33.710] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:34.732] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:35.753] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:36.773] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:37.789] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:38.812] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-07 14:18:39.835] [warning] [Gimbal] No serial data for extended period, triggering reconnect
