[2026-07-22 18:59:38.449] [warning] [DesktopGimbal] NO-GIMBAL mode: visual detection only.
[2026-07-22 18:59:38.449] [info] [DesktopGimbal] Opening camera...
[2026-07-22 18:59:40.353] [info] [MultiThreadDetector] initialized !
[2026-07-22 18:59:40.355] [info] [DesktopGimbal] Entering main loop.
[2026-07-22 18:59:40.438] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.450] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.462] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.472] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.486] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.498] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.506] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.517] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.534] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.542] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.556] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.570] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.577] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.589] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.600] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.608] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.624] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.637] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.654] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.665] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.681] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.707] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.725] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.754] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.770] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.797] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.815] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.842] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.858] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.890] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.901] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.931] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.947] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.971] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:40.990] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.018] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.037] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.063] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.079] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.105] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.124] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.150] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.168] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.193] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.210] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.236] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.253] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.283] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.301] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.314] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.332] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.342] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.362] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.375] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.403] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.418] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.441] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.452] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.468] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.479] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.496] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.508] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.521] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.533] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.551] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.579] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.597] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.621] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.638] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.665] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.681] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.707] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.723] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.751] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.766] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.792] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.811] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.839] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.856] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.881] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.893] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.921] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.938] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.965] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:41.982] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.006] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.023] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.049] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.067] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.092] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.112] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.140] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.159] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.171] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.189] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.200] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.220] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.232] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.249] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.270] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.284] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.312] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.330] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.341] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.359] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.381] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.395] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.407] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.421] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.433] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.457] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.468] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.496] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.513] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.539] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.556] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.579] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.597] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.628] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.647] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.660] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.690] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.706] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.732] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.748] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.774] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.791] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:42.816] [debug] [MultiThreadDetector] queue is full!
