[2026-07-01 18:23:24.374] [info] [0] yolo: 210.7ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-01 18:23:24.428] [info] [1] yolo: 8.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:24.441] [info] [2] yolo: 8.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-01 18:23:24.489] [info] [3] yolo: 10.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:24.537] [info] [4] yolo: 10.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:24.581] [info] [5] yolo: 10.9ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:24.625] [info] [6] yolo: 8.8ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-01 18:23:24.671] [info] [7] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:24.716] [info] [8] yolo: 9.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:24.760] [info] [9] yolo: 9.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:24.804] [info] [10] yolo: 10.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:24.845] [info] [11] yolo: 6.1ms, tracker: 1.0ms, aimer: 0.1ms
[2026-07-01 18:23:24.892] [info] [12] yolo: 9.9ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-01 18:23:24.934] [info] [13] yolo: 6.6ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-01 18:23:24.978] [info] [14] yolo: 9.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:25.019] [info] [15] yolo: 6.2ms, tracker: 0.9ms, aimer: 0.0ms
[2026-07-01 18:23:25.066] [info] [16] yolo: 11.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.111] [info] [17] yolo: 10.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.159] [info] [18] yolo: 12.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.203] [info] [19] yolo: 9.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:25.247] [info] [20] yolo: 8.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.293] [info] [21] yolo: 9.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.338] [info] [22] yolo: 10.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.384] [info] [23] yolo: 10.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.429] [info] [24] yolo: 9.6ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-01 18:23:25.476] [info] [25] yolo: 10.8ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:25.520] [info] [26] yolo: 9.2ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:25.566] [info] [27] yolo: 10.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.613] [info] [28] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.658] [info] [29] yolo: 10.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.705] [debug] [Target] r=0.044, l=0.000
[2026-07-01 18:23:25.705] [debug] [Tracker] Target diverged!
[2026-07-01 18:23:25.705] [info] [30] yolo: 10.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.748] [info] [31] yolo: 9.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.795] [info] [32] yolo: 11.4ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:25.837] [info] [33] yolo: 6.2ms, tracker: 0.9ms, aimer: 0.0ms
[2026-07-01 18:23:25.885] [info] [34] yolo: 10.5ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:25.934] [info] [35] yolo: 13.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:25.979] [info] [36] yolo: 10.3ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-01 18:23:26.023] [info] [37] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:26.068] [info] [38] yolo: 10.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:26.111] [info] [39] yolo: 9.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:26.158] [info] [40] yolo: 11.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-01 18:23:26.202] [info] [41] yolo: 6.4ms, tracker: 1.0ms, aimer: 0.1ms
[2026-07-01 18:23:26.245] [info] [42] yolo: 6.3ms, tracker: 0.0ms, aimer: 0.1ms
