[2026-07-22 23:34:37.376] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-22 23:34:37.477] [info] [Gimbal] read_thread started.
[2026-07-22 23:34:37.478] [info] [Gimbal] First q received.
[2026-07-22 23:34:38.377] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:34:38.745] [info] [SimpleTracker] Entering main loop.
[2026-07-22 23:34:38.808] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:38.946] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:38.959] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.006] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.073] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.139] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.206] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.273] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.309] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:34:39.339] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.406] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.473] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.539] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.606] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.672] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.740] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.807] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.873] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:39.939] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.006] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.073] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.139] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.160] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:34:40.206] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.272] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.339] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.406] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.473] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.539] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.606] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.673] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.739] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.806] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.873] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.939] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:40.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:34:41.006] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.073] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.139] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.206] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.272] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.339] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.406] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.473] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.540] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.606] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.673] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.739] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.806] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.847] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 23:34:41.872] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:41.939] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:42.006] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
[2026-07-22 23:34:42.072] [warning] [SimpleTracker] Gimbal in IDLE mode, overriding to AUTO_AIM
