[2026-07-06 18:18:57.736] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-06 18:18:57.836] [info] [Gimbal] read_thread started.
[2026-07-06 18:18:58.840] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:18:59.848] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:00.853] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:01.861] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:02.866] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:03.873] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:04.878] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:05.888] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:06.894] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:07.899] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:08.901] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:09.904] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:10.908] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:11.920] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:12.927] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:13.932] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:14.935] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:15.937] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:16.941] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:17.944] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:18.951] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:19.956] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:20.957] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:21.960] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:22.965] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:23.968] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:24.973] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:25.980] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:26.984] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:27.993] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:28.998] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:30.002] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:31.007] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:32.010] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:33.011] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:34.016] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:35.022] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:36.027] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:37.032] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:38.050] [warning] [Gimbal] No serial data for extended period, triggering reconnect
[2026-07-06 18:19:39.055] [warning] [Gimbal] No serial data for extended period, triggering reconnect
