[2026-07-22 21:56:02.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:03.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:04.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:05.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:06.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:07.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:08.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:09.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:10.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:11.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:12.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:13.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:14.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:15.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:16.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:17.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:18.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:19.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:20.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:21.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:22.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:23.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:24.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:25.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:26.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:27.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:28.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:29.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:30.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:31.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:32.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:33.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:34.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:35.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:36.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:37.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:38.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:39.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:40.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:41.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:42.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:43.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:44.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:45.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:46.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:47.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:48.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:49.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:50.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:51.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:52.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:53.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:54.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:55.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:56.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:57.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:58.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:56:59.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:00.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:01.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:02.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:03.992] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:04.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:05.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:06.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:07.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:08.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:09.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:10.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:11.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:12.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
