[2026-07-02 11:07:03.815] [info] [56] yolo: 6.1ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:07:03.858] [info] [57] yolo: 9.1ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:03.900] [info] [58] yolo: 9.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:03.938] [info] [59] yolo: 5.8ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:07:03.981] [info] [60] yolo: 7.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:04.023] [info] [61] yolo: 6.1ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:04.067] [debug] [Target] r=0.042, l=0.000
[2026-07-02 11:07:04.067] [debug] [Tracker] Target diverged!
[2026-07-02 11:07:04.067] [info] [62] yolo: 10.0ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:04.111] [info] [63] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:04.154] [info] [64] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:04.197] [info] [65] yolo: 7.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:04.239] [info] [66] yolo: 6.7ms, tracker: 0.7ms, aimer: 0.1ms
[2026-07-02 11:07:04.283] [info] [67] yolo: 9.9ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:04.325] [info] [68] yolo: 8.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:04.370] [info] [69] yolo: 9.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:04.413] [info] [70] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:04.459] [info] [71] yolo: 11.1ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:07:04.502] [info] [72] yolo: 8.4ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:04.544] [info] [73] yolo: 7.7ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:07:04.587] [info] [74] yolo: 9.3ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:07:04.633] [info] [75] yolo: 10.4ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:07:04.681] [info] [76] yolo: 10.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:04.728] [info] [77] yolo: 8.6ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:07:04.769] [info] [78] yolo: 6.2ms, tracker: 0.8ms, aimer: 0.0ms
[2026-07-02 11:07:04.816] [info] [79] yolo: 9.7ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:07:04.861] [info] [80] yolo: 8.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:04.905] [info] [81] yolo: 9.1ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:07:04.949] [info] [82] yolo: 9.9ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:04.994] [info] [83] yolo: 10.6ms, tracker: 0.0ms, aimer: 0.0ms
